Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
the pos failure;Open more points wia people can get their orders from;Phone and Tablet Accessories;SHQ;Konga App
non;Some products are expensive ;Printers, Scanners and Accessories;KWK;Konga App
Cancellation of order impromptu;It is good ;Women's Accessories;SHQ;Desktop Web
;;Hair Centre;SHQ;Mobile Web
When I return the product to get another one;They should make their customer care free toll ;Mobile Phones;KWK;Mobile Web
Delivery, I am still waiting for my order to be delivered after it has arrived in my location over a week ago.;Keep your promises, as it is I'm wary of shopping on Konga now. For all their faults, Jumia's service has proven to be better.;Mobile Phones;KWK;Desktop Web
Delivery and low quality products often times;;Fitness;SHQ;Desktop Web
No challenge presently.;Customer needs to be called before Dispatch personnel lives office for dispatch.;Large Appliances;KWK & SHQ;Mobile Web
None ;well am new here and the first time shops on Konga, I really enjoyed it. It was great. ;Mobile Phones;KWK;Mobile Web
Malfunction items delivered ;Am not impressed ;Large Appliances;KWK & SHQ;Desktop Web
their delivery is so poor.;please I will advise you talk to the delivery agent in warri, delta state to stop the attitude of sending a failed delivery attempt when actually they didn't contact you neither did they tried delivering item to the contact address.;Women's Wear;SHQ;Desktop Web
Difference between what was advertized or posted and what is delivered. Products on the website for sale should be what is delivered to the customer.;Products advertized should be periodically updated to reflect what the vendors are presently shipping or selling. I was a victim of the difference between what was advertized or posted and what was shipped or received.;Generators & Power Supplies;SHQ;Desktop Web
Delivery ;Just deliver on time in Lagos,  but every other thing is sweet about konga. ;Health;SHQ;Konga App
Delivery;;Musical Equipment;SHQ;Mobile Web
Searching for products based on price. Thought i would get the option of lowest price first. ;Improvement on product search based on pricing would be welcomed;Large Appliances;KWK;Konga App
delivery stage. ;adequate calling of customers and messaging before delivery date to keep the customers posted.;Home Theatres and Audio Systems;SHQ;Desktop Web
Non;Your services are satisfactory;Mobile Phones;KWK;Desktop Web
Non so far;Delivery fee is the major concern from my ends. Better anyways;Mobile Phones;KWK;Konga App
;;Categories;KWK;Mobile Web
Collection ;Nil;Large Appliances;KWK;Desktop Web
;;Easter Came Early Fashion;KWK & SHQ;Mobile Web
no any point;you are the best;Phone and Tablet Accessories;SHQ;Desktop Web
At checkout, trying to apply a discount coupon and at Delivery...;Shipping should be free within Lagos...;Housekeeping & Pet Supplies;SHQ;Mobile Web
Non;Your delivery takes long time and that's bad. It discourage someone from shopping cos it takes long time to deliver. ;Women's Accessories;SHQ;Mobile Web
WHEN USING THE KONGA APP ON MY ANDROID. IT DOES NOT OPEN AT TIMES OR TAKES TIME EVEN WITH GOOD INTERNET CONNECTION;KEEP UP THE GOOD WORK. MALE THE KONGA APP EASIER TO USE EVEN WITH LIMITED INTERNET CONNECTION. FINALLY, CONTINUE PROVIDING QUALITY AND GRADE ONE PRODUCTS ALL THE TIME. I AM ESPECIALLY WAITING FOR A GRNERATOR SET ( FROM 2.5KVA AND ABOVE) ;Large Appliances;KWK;Konga App
;;Watches;SHQ;Mobile Web
no option of choosing a pick up address. very very annoying and time wasting;try and increase the level of free voucher. it gives a very good competitive in sales even if your packages are at the hike prices. people love freebies and that alone could attract traffic on your website and out 100 viewers you are sure of getting 10 customers tracked down. Thanks;Women's Accessories;SHQ;Desktop Web
Nowhere ;;Kitchen and Dining;SHQ;Desktop Web
The price is higher you need to work on it. ;;Housekeeping & Pet Supplies;SHQ;Mobile Web
Returning a defective item and getting pay back for it.;Konga must remove sellers who default shipping without genuine excuse from its online platform (especially those who decline POD).;Konga Fashion;SHQ;Desktop Web
Failure to deliver my order ;Do your best to meet up with costumers order;Mobile Phones;SHQ;Konga App
I ordered a product and I didn't get any call from you after order has been completed and I have tracking number and the package never arrived till now it's been a week;I think konga should always call customers to confirm orders and get clarity on address cause I think maybe my address is why they didn't bother to bring my order I live in a new area;Large Appliances;KWK;Mobile Web
when I wanted to order....  ;just keep it simple.   ;Mobile Phones;KWK;Mobile Web
Never;The App is good but it shows so many results even what you didn't search for And the delivery fee there is God!;Women's Accessories;SHQ;Desktop Web
;;Large Appliances;KWK;Desktop Web
;;Easter Came Early Fashion;KWK;Mobile Web
;;Women's Wear;SHQ;Konga App
The service; I don't have anything to share yet cus the blender I bought from kings is not original;Special Offers;KWK & SHQ;Konga App
;Konga all the way!!!!! Shopping made easy !;Small Appliances;KWK & SHQ;Desktop Web
In the deliver. It took a long;;Phone and Tablet Accessories;SHQ;Desktop Web
At delivery point ;Please make very sure that the owner of any product will ship the exact someone orded for,but I must confess u guys are wonderful ;Home Theatres and Audio Systems;SHQ;Desktop Web
;Having an office in Abuja and other states will be nice;Makeup;SHQ;Desktop Web
;;Phone and Tablet Accessories;SHQ;Desktop Web
When I was seeking clarification on when delivery would be completed. ;;Stationery;SHQ;Desktop Web
when buying a QASA Fan that i was told it is not available after i place an order which it was still place on the website;please try not to put a product on the website that is out of your stock so as not to confuse the customers;Tablets;KWK;Desktop Web
Delivery, I had to go to their office to my phone hours after it has gotten to them;;Mobile Phones;KWK;Desktop Web
;;Home Theatres and Audio Systems;SHQ;Desktop Web
Shipping fee;The delivery time school be short ;Games and Consoles;SHQ;Konga App
;;Men's Shoes;KWK & SHQ;Desktop Web
;I ordered for solar power bank over a week ago and you guys refuse to deliver it to me. Why?;Phone and Tablet Accessories;SHQ;Konga App
;;Networking;SHQ;Mobile Web
Konga delay most time;Konga to slow ;Networking;SHQ;Konga App
when searching for a specific item using the search option;You are really trying in terms of product price,delivery,customer relationship but you still need to improve or try to bring out something like a reward for your loyal customers at least every now and then. since you know you are in a competitive market(with likes of Jumia, Mall for Africa, Ali Express etc) .hope it will be noted.tnx;Mobile Phones;SHQ;Mobile Web
None;Good job;Women's Wear;KWK & SHQ;Konga App
Delivery;Keep it up.  You are too much. ;Mobile Phones;SHQ;Desktop Web
;;Men's Accessories;SHQ;Mobile Web
None;Very nice experience.;Large Appliances;KWK;Desktop Web
;;Large Appliances;KWK;Desktop Web
Payment with Konga (for pay before delivery option). I was disappointed when the customer care called me that Konga was unable to verify and clear the debited money. It was stressful visiting my bank to fill forms and have the money credited back for failed transaction.;;Home Furnishings;SHQ;Desktop Web
None ;I would advice konga to make there product lesser Dan other online shops.To encourage more patronage. ;Mobile Phones;KWK;Desktop Web
When the bike messenger couldn't wait for 5 minutes, so I may go and get the payment. After I'd told him to please wait and he acknowledged;;Phone and Tablet Accessories;SHQ;Konga App
;;Makeup;SHQ;Konga App
;;Mobile Phones;SHQ;Desktop Web
None;I love konga and I wish for more of it but I have issues with price diff ,let consider at time;Sunglasses;SHQ;Desktop Web
When using pos;Put more effort. You are doing well in your business;Men's Wear;KWK;Mobile Web
Cancellation point ;;Personal Care;SHQ;Konga App
Non ;Keeping doing and improving, God is your strength ;Large Appliances;KWK & SHQ;Konga App
;;Mobile Phones;SHQ;Desktop Web
The delivery free, esspecially what it became 1500.more is still needed free konga. ;The starndered delivery free should be 500 if possible. If I want to be an agent, what can I do;Automotive Parts & Accessories;SHQ;Konga App
Expensive shipping fee. The Konga app is quite slow ;;Women's Accessories;SHQ;Konga App
I appreciate konga;Konga is good there trying a lot, but they Should try more;Makeup;SHQ;Desktop Web
Delivery;Satisfactory;Women's Shoes;SHQ;Mobile Web
Independent sellers shipping late.;Your mobile app takes ages to load up current information.;Phone and Tablet Accessories;SHQ;Konga App
none;;Large Appliances;KWK;Desktop Web
;;?Baby Essentials;SHQ;Konga App
None;Please confirm the quality of products sold by other merchants;Computing Accessories;SHQ;Desktop Web
Delivery, returns ;You need to learn a whole lot about customer service ;Hair Centre;SHQ;Konga App
;;Large Appliances;KWK;Mobile Web
Had to go pick up most of the orders myself. They kept calling just once a day at odd times. ;;Gifts;SHQ;Konga App
